Kp,Ki,Total Reward,Tracking Reward,Cost Reward,Precision Reward
0.1,0.1,-21874.804329946695,-13683.013528520403,-7986.421399521178,-205.36940190511686
0.1,0.16681005372000587,-18762.853212802533,-10299.012734597001,-8251.384066764846,-212.456411440686
0.1,0.2782559402207124,-16952.42721466494,-8197.087871309866,-8539.441652037523,-215.89769131755142
0.1,0.46415888336127786,-16041.048177457616,-6900.164768146768,-8923.091868582851,-217.79154072799724
0.1,0.774263682681127,-14183.777360414384,-4984.296757424248,-8977.349161303704,-222.13144168642805
0.1,1.291549665014884,-12820.785845354898,-3659.2825084929996,-8935.632242866795,-225.87109399510177
0.1,2.1544346900318834,-11933.429535459534,-2851.5697218094147,-8852.845790213447,-229.01402343667274
0.1,3.593813663804626,-12262.928643178055,-3189.4726695935665,-8844.793638151663,-228.6623354328251
0.1,5.994842503189409,-66103.9431124615,-38985.20746008858,-27000.0,-118.7356523729127
0.1,10.0,-66103.9431124615,-38985.20746008858,-27000.0,-118.7356523729127
0.16681005372000587,0.1,-21826.67364414149,-13637.641566458513,-7983.612012293366,-205.42006538961584
0.16681005372000587,0.16681005372000587,-18727.50373437805,-10266.266787495326,-8248.70817308804,-212.52877379468276
0.16681005372000587,0.2782559402207124,-16924.328274657615,-8171.84086612688,-8536.519374400094,-215.96803413064077
0.16681005372000587,0.46415888336127786,-16016.72719951979,-6879.403623559534,-8919.46357938392,-217.85999657633297
0.16681005372000587,0.774263682681127,-14174.85187592742,-4976.333555083606,-8976.349942839739,-222.16837800407006
0.16681005372000587,1.291549665014884,-12815.131595710143,-3654.6551944772423,-8934.575353595275,-225.9010476376268
0.16681005372000587,2.1544346900318834,-11938.203894002067,-2853.395603428072,-8855.808360300098,-228.99993027389715
0.16681005372000587,3.593813663804626,-12067.469693139752,-3110.574232267233,-8727.380868661949,-229.51459221057007
0.16681005372000587,5.994842503189409,-66103.9431124615,-38985.20746008858,-27000.0,-118.7356523729127
0.16681005372000587,10.0,-66103.9431124615,-38985.20746008858,-27000.0,-118.7356523729127
0.2782559402207124,0.1,-21747.081720692102,-13562.600828110091,-7978.977806706943,-205.5030858750661
0.2782559402207124,0.16681005372000587,-18669.041525911136,-10212.099877516139,-8244.292892047055,-212.64875634794637
0.2782559402207124,0.2782559402207124,-16877.853986315033,-8130.074030245695,-8531.695378320972,-216.08457774836353
0.2782559402207124,0.46415888336127786,-15976.498759271548,-6845.055283901881,-8913.470770787502,-217.9727045821636
0.2782559402207124,0.774263682681127,-14159.969665454802,-4963.061001296862,-8974.678964561339,-222.2296995966019
0.2782559402207124,1.291549665014884,-12805.76253880054,-3646.9789611973383,-8932.833982206663,-225.94959539653433
0.2782559402207124,2.1544346900318834,-11946.18779449364,-2856.452236277032,-8860.758786958422,-228.97677125818606
