Kp,Ki,Total Reward,Tracking Reward,Cost Reward,Precision Reward
1.291549665014884,10.0,-66103.9431124615,-38985.20746008858,-27000.0,-118.7356523729127
2.1544346900318834,0.1,-20526.214373336214,-12409.441562970573,-7909.869146688254,-206.90366367739082
2.1544346900318834,0.16681005372000587,-17771.091351892956,-9378.369669872221,-8178.245380672111,-214.4763013486238
2.1544346900318834,0.2782559402207124,-16163.48440527173,-7486.507261040838,-8459.167337112984,-217.80980711790772
2.1544346900318834,0.46415888336127786,-15357.840947594312,-6315.384096629808,-8822.798669700645,-219.65818126385705
2.1544346900318834,0.774263682681127,-13884.366072933226,-4722.738382696995,-8938.335400456659,-223.29228977956916
2.1544346900318834,1.291549665014884,-12659.104248748581,-3525.1326020597885,-8907.271677905643,-226.69996878315058
2.1544346900318834,2.1544346900318834,-11931.543818597573,-2830.754047101831,-8871.572815322434,-229.21695617330886
2.1544346900318834,3.593813663804626,-11624.842661163702,-2835.8428961214413,-8557.504515056276,-231.49524998598534
2.1544346900318834,5.994842503189409,-66103.9431124615,-38985.20746008858,-27000.0,-118.7356523729127
2.1544346900318834,10.0,-66103.9431124615,-38985.20746008858,-27000.0,-118.7356523729127
3.593813663804626,0.1,-19720.52833073516,-11645.95131781205,-7866.645233130151,-207.93177979296146
3.593813663804626,0.16681005372000587,-17177.247630525853,-8824.92484205369,-8136.713173259444,-215.609615212721
3.593813663804626,0.2782559402207124,-15690.610438241582,-7058.549250824491,-8413.122150142928,-218.9390372741627
3.593813663804626,0.46415888336127786,-14948.051278792593,-5962.726631630447,-8764.543660542564,-220.7809866195804
3.593813663804626,0.774263682681127,-13701.234264249939,-4561.510975921393,-8915.73686259273,-223.98642573581722
3.593813663804626,1.291549665014884,-12559.066092012941,-3439.970453625331,-8891.898993825533,-227.19664456208125
3.593813663804626,2.1544346900318834,-11733.524827422836,-2715.058497052666,-8788.310118864776,-230.15621150539351
3.593813663804626,3.593813663804626,-11416.172499976745,-2548.694179775112,-8635.396181047781,-232.0821391538514
3.593813663804626,5.994842503189409,-66103.9431124615,-38985.20746008858,-27000.0,-118.7356523729127
3.593813663804626,10.0,-66103.9431124615,-38985.20746008858,-27000.0,-118.7356523729127
5.994842503189409,0.1,-18575.631536910965,-10556.664233385567,-7809.432023957206,-209.53527956819266
5.994842503189409,0.16681005372000587,-16331.423960049935,-8033.179438741992,-8081.394490822131,-216.8500304858126
5.994842503189409,0.2782559402207124,-15016.84031409177,-6445.22592358555,-8351.017235669719,-220.5971548365051
5.994842503189409,0.46415888336127786,-14363.807807763365,-5456.68897222465,-8684.725839555544,-222.39299598317376
5.994842503189409,0.774263682681127,-13437.32511692966,-4324.393226217375,-8887.945070902555,-224.98681980973095
5.994842503189409,1.291549665014884,-12394.86433678031,-3300.385660688615,-8866.508109434299,-227.97056665739694
5.994842503189409,2.1544346900318834,-11715.795225221995,-2685.7572049650307,-8799.669345855902,-230.36867440106116
5.994842503189409,3.593813663804626,-11380.323440212835,-2499.6696603330697,-8648.868802025529,-231.78497785423718
5.994842503189409,5.994842503189409,-66103.9431124615,-38985.20746008858,-27000.0,-118.7356523729127
5.994842503189409,10.0,-66103.9431124615,-38985.20746008858,-27000.0,-118.7356523729127
10.0,0.1,-17078.52772775333,-9121.861497680746,-7744.8798022725705,-211.7864278000172
10.0,0.16681005372000587,-15222.914398040972,-6986.108029254731,-8018.266039827018,-218.54032895922273
10.0,0.2782559402207124,-14132.999560271497,-5631.978942685396,-8278.220885965684,-222.79973162041847
10.0,0.46415888336127786,-13597.001788562997,-4784.499265642303,-8588.013802572334,-224.48872034835972
10.0,0.774263682681127,-13024.294827837039,-3953.881608128942,-8843.948479009727,-226.46474069836898
10.0,1.291549665014884,-12147.44400298215,-3085.981376389055,-8832.38529141987,-229.07733517322444
10.0,2.1544346900318834,-11598.933482044551,-2593.71744739868,-8774.160261059407,-231.055773586464
10.0,3.593813663804626,-11199.664368248037,-2413.9945006417674,-8552.938592060264,-232.73127554600552
10.0,5.994842503189409,-66103.9431124615,-38985.20746008858,-27000.0,-118.7356523729127
10.0,10.0,-66103.9431124615,-38985.20746008858,-27000.0,-118.7356523729127
